From,From Label,To,To Label
ESP32,VIN (5V),WS2812B Matrix,VCC
ESP32,GND,WS2812B Matrix,GND
ESP32,GPIO13,Resistor 300-500Ω,IN
Resistor 300-500Ω,OUT,WS2812B Matrix,DIN
ESP32,3V3,SSD1306 OLED,VCC
ESP32,GND,SSD1306 OLED,GND
ESP32,GPIO18,SSD1306 OLED,SCK
ESP32,GPIO23,SSD1306 OLED,SDA
ESP32,VIN (5V),TM1637 7-seg,VCC
ESP32,GND,TM1637 7-seg,GND
ESP32,GPIO22,TM1637 7-seg,CLK
ESP32,GPIO21,TM1637 7-seg,DIO
ESP32,GPIO14,Resistor LED1,IN
Resistor LED1,OUT,Volume Bar LED1,DIN
ESP32,GPIO27,Resistor LED2,IN
Resistor LED2,OUT,Volume Bar LED2,DIN
ESP32,GPIO26,Resistor LED3,IN
Resistor LED3,OUT,Volume Bar LED3,DIN
ESP32,GPIO25,Resistor LED4,IN
Resistor LED4,OUT,Volume Bar LED4,DIN
ESP32,GPIO33,Resistor LED5,IN
Resistor LED5,OUT,Volume Bar LED5,DIN
ESP32,GPIO32,Resistor LED6,IN
Resistor LED6,OUT,Volume Bar LED6,DIN
ESP32,GPIO5,Resistor LED7,IN
Resistor LED7,OUT,Volume Bar LED7,DIN
ESP32,GPIO19,Resistor LED8,IN
Resistor LED8,OUT,Volume Bar LED8,DIN
ESP32,GPIO2,Resistor LED9,IN
Resistor LED9,OUT,Volume Bar LED9,DIN
